id,sameAs
ocd-division/country:uk/pcon:birmingham_hodge_hill,ocd-division/country:gb/part:eng/region:ukg/ed:birmingham_hodge_hill
ocd-division/country:uk/pcon:birmingham_ladywood,ocd-division/country:gb/part:eng/region:ukg/ed:birmingham_ladywood
ocd-division/country:uk/pcon:birmingham_northfield,ocd-division/country:gb/part:eng/region:ukg/ed:birmingham_northfield
ocd-division/country:uk/pcon:birmingham_perry_barr,ocd-division/country:gb/part:eng/region:ukg/ed:birmingham_perry_barr
ocd-division/country:uk/pcon:birmingham_selly_oak,ocd-division/country:gb/part:eng/region:ukg/ed:birmingham_selly_oak
ocd-division/country:uk/pcon:birmingham_yardley,ocd-division/country:gb/part:eng/region:ukg/ed:birmingham_yardley
ocd-division/country:uk/pcon:bromsgrove,ocd-division/country:gb/part:eng/region:ukg/ed:bromsgrove
ocd-division/country:uk/pcon:burton,ocd-division/country:gb/part:eng/region:ukg/ed:burton
ocd-division/country:uk/pcon:cannock_chase,ocd-division/country:gb/part:eng/region:ukg/ed:cannock_chase
ocd-division/country:uk/pcon:coventry_north_east,ocd-division/country:gb/part:eng/region:ukg/ed:coventry_north_east
ocd-division/country:uk/pcon:coventry_north_west,ocd-division/country:gb/part:eng/region:ukg/ed:coventry_north_west
ocd-division/country:uk/pcon:coventry_south,ocd-division/country:gb/part:eng/region:ukg/ed:coventry_south
ocd-division/country:uk/pcon:dudley_north,ocd-division/country:gb/part:eng/region:ukg/ed:dudley_north
ocd-division/country:uk/pcon:dudley_south,ocd-division/country:gb/part:eng/region:ukg/ed:dudley_south
ocd-division/country:uk/pcon:halesowen_and_rowley_regis,ocd-division/country:gb/part:eng/region:ukg/ed:halesowen_and_rowley_regis
ocd-division/country:uk/pcon:hereford_and_south_herefordshire,ocd-division/country:gb/part:eng/region:ukg/ed:hereford_and_south_herefordshire
ocd-division/country:uk/pcon:kenilworth_and_southam,ocd-division/country:gb/part:eng/region:ukg/ed:kenilworth_and_southam
ocd-division/country:uk/pcon:lichfield,ocd-division/country:gb/part:eng/region:ukg/ed:lichfield
ocd-division/country:uk/pcon:ludlow,ocd-division/country:gb/part:eng/region:ukg/ed:ludlow
ocd-division/country:uk/pcon:meriden,ocd-division/country:gb/part:eng/region:ukg/ed:meriden
ocd-division/country:uk/pcon:mid_worcestershire,ocd-division/country:gb/part:eng/region:ukg/ed:mid_worcestershire
ocd-division/country:uk/pcon:newcastle-under-lyme,ocd-division/country:gb/part:eng/region:ukg/ed:newcastle-under-lyme
ocd-division/country:uk/pcon:north_herefordshire,ocd-division/country:gb/part:eng/region:ukg/ed:north_herefordshire
ocd-division/country:uk/pcon:north_shropshire,ocd-division/country:gb/part:eng/region:ukg/ed:north_shropshire
ocd-division/country:uk/pcon:north_warwickshire,ocd-division/country:gb/part:eng/region:ukg/ed:north_warwickshire
ocd-division/country:uk/pcon:nuneaton,ocd-division/country:gb/part:eng/region:ukg/ed:nuneaton
ocd-division/country:uk/pcon:redditch,ocd-division/country:gb/part:eng/region:ukg/ed:redditch
ocd-division/country:uk/pcon:rugby,ocd-division/country:gb/part:eng/region:ukg/ed:rugby
ocd-division/country:uk/pcon:shrewsbury_and_atcham,ocd-division/country:gb/part:eng/region:ukg/ed:shrewsbury_and_atcham
ocd-division/country:uk/pcon:solihull,ocd-division/country:gb/part:eng/region:ukg/ed:solihull
ocd-division/country:uk/pcon:south_staffordshire,ocd-division/country:gb/part:eng/region:ukg/ed:south_staffordshire
ocd-division/country:uk/pcon:stafford,ocd-division/country:gb/part:eng/region:ukg/ed:stafford
ocd-division/country:uk/pcon:staffordshire_moorlands,ocd-division/country:gb/part:eng/region:ukg/ed:staffordshire_moorlands
ocd-division/country:uk/pcon:stoke-on-trent_central,ocd-division/country:gb/part:eng/region:ukg/ed:stoke-on-trent_central
ocd-division/country:uk/pcon:stoke-on-trent_north,ocd-division/country:gb/part:eng/region:ukg/ed:stoke-on-trent_north
ocd-division/country:uk/pcon:stoke-on-trent_south,ocd-division/country:gb/part:eng/region:ukg/ed:stoke-on-trent_south
ocd-division/country:uk/pcon:stone,ocd-division/country:gb/part:eng/region:ukg/ed:stone
ocd-division/country:uk/pcon:stourbridge,ocd-division/country:gb/part:eng/region:ukg/ed:stourbridge
ocd-division/country:uk/pcon:stratford-on-avon,ocd-division/country:gb/part:eng/region:ukg/ed:stratford-on-avon
ocd-division/country:uk/pcon:sutton_coldfield,ocd-division/country:gb/part:eng/region:ukg/ed:sutton_coldfield
ocd-division/country:uk/pcon:tamworth,ocd-division/country:gb/part:eng/region:ukg/ed:tamworth
ocd-division/country:uk/pcon:telford,ocd-division/country:gb/part:eng/region:ukg/ed:telford
ocd-division/country:uk/pcon:the_wrekin,ocd-division/country:gb/part:eng/region:ukg/ed:the_wrekin
ocd-division/country:uk/pcon:walsall_north,ocd-division/country:gb/part:eng/region:ukg/ed:walsall_north
ocd-division/country:uk/pcon:walsall_south,ocd-division/country:gb/part:eng/region:ukg/ed:walsall_south
