id,name,ordnance_id,sameAs
ocd-division/country:uk/cty:cambridgeshire/cpc:swavesey,Swavesey,E04001843,
ocd-division/country:uk/cty:cambridgeshire/cpc:oakington_and_westwick,Oakington and Westwick,E04001829,
ocd-division/country:uk/cty:cambridgeshire/cpc:longstanton,Longstanton,E04001822,
ocd-division/country:uk/cty:cambridgeshire/cpc:rampton,Rampton,E04001835,
ocd-division/country:uk/cty:cambridgeshire/cpc:over,Over,E04001831,
ocd-division/country:uk/cty:cambridgeshire/cpc:willingham,Willingham,E04001854,
ocd-division/country:uk/cty:cambridgeshire/cpc:landbeach,Landbeach,E04001813,
ocd-division/country:uk/cty:cambridgeshire/cpc:whaddon,Whaddon,E04001852,
ocd-division/country:uk/cty:cambridgeshire/cpc:kingston,Kingston,E04001811,
ocd-division/country:uk/cty:cambridgeshire/cpc:croxton,Croxton,E04001776,
ocd-division/country:uk/cty:cambridgeshire/cpc:cambourne,Cambourne,E04001856,
ocd-division/country:uk/cty:cambridgeshire/cpc:papworth_st_agnes,Papworth St. Agnes,E04001834,
ocd-division/country:uk/cty:cambridgeshire/cpc:knapwell,Knapwell,E04001812,
ocd-division/country:uk/cty:cambridgeshire/cpc:childerley,Childerley,E04001771,
ocd-division/country:uk/cty:cambridgeshire/cpc:heydon,Heydon,E04001803,
ocd-division/country:uk/cty:cambridgeshire/cpc:little_eversden,Little Eversden,E04001817,
ocd-division/country:uk/cty:cambridgeshire/cpc:little_shelford,Little Shelford,E04001819,
ocd-division/country:uk/cty:cambridgeshire/cpc:hauxton,Hauxton,E04001802,
ocd-division/country:uk/cty:cambridgeshire/cpc:hinxton,Hinxton,E04001805,
ocd-division/country:uk/cty:cambridgeshire/cpc:pampisford,Pampisford,E04001832,
ocd-division/country:uk/cty:cambridgeshire/cpc:bartlow,Bartlow,E04001762,
ocd-division/country:uk/cty:cambridgeshire/cpc:toft,Toft,E04001847,
ocd-division/country:uk/cty:cambridgeshire/cpc:hardwick,Hardwick,E04001797,
ocd-division/country:uk/cty:cambridgeshire/cpc:grantchester,Grantchester,E04001789,
ocd-division/country:uk/cty:cambridgeshire/cpc:coton,Coton,E04001774,
ocd-division/country:uk/cty:cambridgeshire/cpc:lolworth,Lolworth,E04001821,
ocd-division/country:uk/cty:cambridgeshire/cpc:bar_hill,Bar Hill,E04001760,
ocd-division/country:uk/cty:cambridgeshire/cpc:teversham,Teversham,E04001845,
ocd-division/country:uk/cty:cambridgeshire/cpc:great_wilbraham,Great Wilbraham,E04001795,
ocd-division/country:uk/cty:cambridgeshire/cpc:orchard_park,Orchard Park,E04010467,
ocd-division/country:uk/cty:cambridgeshire/cpc:milton_det,Milton (DET),E04010466,
