id,name,name_fr,validFrom,validThrough
ocd-division/country:ca/ed:48020,Edmonton West,Edmonton-Ouest,"",""
ocd-division/country:ca/ed:48021,Edmonton—Wetaskiwin,Edmonton—Wetaskiwin,"",""
ocd-division/country:ca/ed:48022,Foothills,Foothills,"",""
ocd-division/country:ca/ed:48023,Fort McMurray—Cold Lake,Fort McMurray—Cold Lake,"",""
ocd-division/country:ca/ed:48024,Grande Prairie—Mackenzie,Grande Prairie—Mackenzie,"",""
ocd-division/country:ca/ed:48025,Lakeland,Lakeland,"",""
ocd-division/country:ca/ed:48026,Lethbridge,Lethbridge,"",""
ocd-division/country:ca/ed:48027,Medicine Hat—Cardston—Warner,Medicine Hat—Cardston—Warner,"",""
ocd-division/country:ca/ed:48028,Peace River—Westlock,Peace River—Westlock,"",""
ocd-division/country:ca/ed:48029,Red Deer—Mountain View,Red Deer—Mountain View,2015-10-19,""
ocd-division/country:ca/ed:48030,Red Deer—Lacombe,Red Deer—Lacombe,2015-10-19,""
ocd-division/country:ca/ed:48031,St. Albert—Edmonton,St. Albert—Edmonton,2015-10-19,""
ocd-division/country:ca/ed:48032,Sherwood Park—Fort Saskatchewan,Sherwood Park—Fort Saskatchewan,2015-10-19,""
ocd-division/country:ca/ed:48033,Sturgeon River—Parkland,Sturgeon River—Parkland,2015-10-19,""
ocd-division/country:ca/ed:48034,Yellowhead,Yellowhead,2015-10-19,""
ocd-division/country:ca/ed:59001,Abbotsford,Abbotsford,"",""
ocd-division/country:ca/ed:59002,Burnaby North—Seymour,Burnaby-Nord—Seymour,"",""
ocd-division/country:ca/ed:59003,Burnaby South,Burnaby-Sud,"",""
ocd-division/country:ca/ed:59004,Cariboo—Prince George,Cariboo—Prince George,"",""
ocd-division/country:ca/ed:59005,Central Okanagan—Similkameen—Nicola,Central Okanagan—Similkameen—Nicola,"",""
ocd-division/country:ca/ed:59006,Chilliwack—Hope,Chilliwack—Hope,"",""
ocd-division/country:ca/ed:59007,Cloverdale—Langley City,Cloverdale—Langley City,"",""
ocd-division/country:ca/ed:59008,Coquitlam—Port Coquitlam,Coquitlam—Port Coquitlam,"",""
ocd-division/country:ca/ed:59009,Courtenay—Alberni,Courtenay—Alberni,"",""
ocd-division/country:ca/ed:59010,Cowichan—Malahat—Langford,Cowichan—Malahat—Langford,"",""
ocd-division/country:ca/ed:59011,Delta,Delta,"",""
ocd-division/country:ca/ed:59012,Fleetwood—Port Kells,Fleetwood—Port Kells,"",""
ocd-division/country:ca/ed:59013,Kamloops—Thompson—Cariboo,Kamloops—Thompson—Cariboo,"",""
ocd-division/country:ca/ed:59014,Kelowna—Lake Country,Kelowna—Lake Country,"",""
ocd-division/country:ca/ed:59015,Kootenay—Columbia,Kootenay—Columbia,"",""
ocd-division/country:ca/ed:59016,Langley—Aldergrove,Langley—Aldergrove,"",""
ocd-division/country:ca/ed:59017,Mission—Matsqui—Fraser Canyon,Mission—Matsqui—Fraser Canyon,"",""
ocd-division/country:ca/ed:59018,Nanaimo—Ladysmith,Nanaimo—Ladysmith,"",""
ocd-division/country:ca/ed:59019,New Westminster—Burnaby,New Westminster—Burnaby,"",""
ocd-division/country:ca/ed:59020,North Okanagan—Shuswap,North Okanagan—Shuswap,"",""
ocd-division/country:ca/ed:59021,North Vancouver,North Vancouver,"",""
ocd-division/country:ca/ed:59022,Pitt Meadows—Maple Ridge,Pitt Meadows—Maple Ridge,"",""
ocd-division/country:ca/ed:59023,Port Moody—Coquitlam,Port Moody—Coquitlam,"",""
